odrl_id,category,tptp_lang,smt_logic,verdict,expected_tptp_status,expected_smt_status,vampire,eprover,z3,cvc5,vampire_s,eprover_s,z3_s,cvc5_s,decided_by,tier_row
ODRL800,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.011,0.010,0.024,0.009,cvc5+eprover+vampire+z3,order
ODRL801,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.005,0.004,0.020,0.005,cvc5+eprover+vampire+z3,order
ODRL802,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.004,0.010,0.004,cvc5+eprover+vampire+z3,order
ODRL803,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.004,0.004,0.009,0.004,cvc5+eprover+vampire+z3,order
ODRL804,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.004,0.004,0.009,0.003,cvc5+eprover+vampire+z3,order
ODRL805,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.005,0.004,0.009,0.004,cvc5+eprover+vampire+z3,order
ODRL806,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.005,0.010,0.004,cvc5+eprover+vampire+z3,order
ODRL807,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.006,0.004,0.010,0.004,cvc5+eprover+vampire+z3,order
ODRL808,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.005,0.004,0.008,0.004,cvc5+eprover+vampire+z3,order
ODRL809,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.004,0.009,0.003,cvc5+eprover+vampire+z3,order
ODRL810,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.005,0.004,0.009,0.004,cvc5+eprover+vampire+z3,order
ODRL811,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.004,0.004,0.008,0.003,cvc5+eprover+vampire+z3,order
ODRL812,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.004,0.004,0.009,0.003,cvc5+eprover+vampire+z3,order
ODRL813,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.006,0.004,0.008,0.004,cvc5+eprover+vampire+z3,order
ODRL814,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.006,0.004,0.009,0.006,cvc5+eprover+vampire+z3,order
ODRL815,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.004,0.009,0.004,cvc5+eprover+vampire+z3,order
ODRL816,Periodic,tff,QF_LIA,Compatible,Theorem,sat,theorem,timeout,sat,sat,0.004,0.002,0.011,0.004,cvc5+vampire+z3,witness
ODRL817,Periodic,tff,QF_LIA,Conflict,Theorem,unsat,timeout,timeout,unsat,unsat,20.011,0.003,0.010,0.003,cvc5+z3,model
ODRL818,Periodic,tff,QF_LIA,Conflict,Theorem,unsat,timeout,timeout,unsat,unsat,20.016,0.002,0.013,0.004,cvc5+z3,model
ODRL819,Periodic,tff,QF_LIA,Compatible,Theorem,sat,theorem,timeout,sat,sat,0.098,0.002,0.013,0.005,cvc5+vampire+z3,witness
ODRL820,Periodic,tff,QF_LIA,Conflict,Theorem,unsat,timeout,timeout,unsat,unsat,20.021,0.003,0.012,0.004,cvc5+z3,model
ODRL821,CrossOperand,tff,QF_LIA,Conflict,Theorem,unsat,theorem,gaveup,unsat,unsat,3.015,0.004,0.018,0.006,cvc5+vampire+z3,witness
ODRL822,CrossOperand,tff,QF_LIA,Compatible,Theorem,sat,theorem,gaveup,sat,sat,0.005,0.003,0.019,0.005,cvc5+vampire+z3,witness
ODRL823,CrossOperand,tff,QF_LIA,Conflict,Theorem,unsat,theorem,gaveup,unsat,unsat,0.011,0.005,0.013,0.005,cvc5+vampire+z3,witness
ODRL824,CrossOperand,tff,QF_LIA,Compatible,Theorem,sat,theorem,gaveup,sat,sat,0.006,0.002,0.019,0.004,cvc5+vampire+z3,witness
ODRL825,Capstone,tff,QF_LIA,Conflict,Theorem,unsat,theorem,timeout,unsat,unsat,0.005,0.002,0.019,0.005,cvc5+vampire+z3,witness
ODRL826,Capstone,tff,QF_LIA,Compatible,Theorem,sat,theorem,timeout,sat,sat,3.415,0.002,0.015,0.005,cvc5+vampire+z3,witness
ODRL827,Sequence,tff,QF_IDL,Compatible,Theorem,sat,timeout,timeout,sat,sat,0.005,0.002,0.012,0.005,cvc5+z3,model
ODRL828,Sequence,tff,QF_IDL,Conflict,Theorem,unsat,timeout,timeout,unsat,unsat,0.004,0.002,0.011,0.005,cvc5+z3,model
ODRL829,Sequence,tff,QF_IDL,Compatible,Theorem,sat,timeout,timeout,sat,sat,0.005,0.002,0.014,0.008,cvc5+z3,model
ODRL830,Sequence,tff,QF_IDL,Conflict,Theorem,unsat,timeout,timeout,unsat,unsat,0.004,0.002,0.013,0.005,cvc5+z3,model
ODRL831,ConflictCriterion,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.006,0.005,0.012,0.005,cvc5+eprover+vampire+z3,order
ODRL832,ConflictCriterion,fof,QF_LIA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.009,0.005,0.018,0.005,cvc5+eprover+vampire+z3,order
ODRL833,ConflictCriterion,fof,QF_LIA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.005,0.005,0.013,0.005,cvc5+eprover+vampire+z3,order
ODRL834,ConflictCriterion,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.004,0.013,0.006,cvc5+eprover+vampire+z3,order
ODRL835,ConflictCriterion,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.004,0.013,0.004,cvc5+eprover+vampire+z3,order
ODRL836,ConflictCriterion,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.005,0.012,0.004,cvc5+eprover+vampire+z3,order
ODRL837,Runtime,tff,QF_LIA,Compatible,Theorem,sat,theorem,gaveup,sat,sat,0.005,0.003,0.013,0.006,cvc5+vampire+z3,witness
ODRL838,Runtime,tff,QF_LIA,Conflict,Theorem,unsat,theorem,gaveup,unsat,unsat,0.004,0.002,0.012,0.005,cvc5+vampire+z3,witness
ODRL839,Runtime,tff,QF_LIA,Conflict,Theorem,unsat,theorem,gaveup,unsat,unsat,0.004,0.002,0.011,0.004,cvc5+vampire+z3,witness
ODRL840,Runtime,tff,QF_LIA,Conflict,Theorem,unsat,theorem,gaveup,unsat,unsat,0.004,0.002,0.012,0.006,cvc5+vampire+z3,witness
ODRL841,Runtime,tff,QF_LIA,Compatible,Theorem,sat,theorem,gaveup,sat,sat,0.004,0.003,0.012,0.005,cvc5+vampire+z3,witness
ODRL842,Runtime,tff,QF_LIA,Conflict,Theorem,unsat,theorem,gaveup,unsat,unsat,0.004,0.003,0.011,0.004,cvc5+vampire+z3,witness
ODRL843,LogicalOr,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.004,0.012,0.005,cvc5+eprover+vampire+z3,order
ODRL844,LogicalOr,fof,QF_LIA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.005,0.003,0.011,0.005,cvc5+eprover+vampire+z3,order
ODRL845,LogicalOr,fof,QF_LIA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.004,0.004,0.012,0.005,cvc5+eprover+vampire+z3,order
ODRL846,LogicalXone,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.004,0.012,0.005,cvc5+eprover+vampire+z3,order
ODRL847,LogicalXone,fof,QF_LIA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.005,0.003,0.011,0.004,cvc5+eprover+vampire+z3,order
ODRL848,LogicalXone,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.004,0.012,0.005,cvc5+eprover+vampire+z3,order
ODRL849,Unknown,fof,QF_LIA,Unknown,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.005,0.012,0.004,cvc5+eprover+vampire+z3,order
ODRL850,Unknown,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.006,0.005,0.013,0.004,cvc5+eprover+vampire+z3,order
ODRL851,Unknown,fof,QF_LIA,Unknown,Theorem,unsat,theorem,theorem,unsat,unsat,0.008,0.005,0.012,0.009,cvc5+eprover+vampire+z3,order
ODRL852,Refinement,fof,QF_LIA,Refines,Theorem,unsat,theorem,theorem,unsat,unsat,0.006,0.006,0.013,0.004,cvc5+eprover+vampire+z3,order
ODRL853,Refinement,fof,QF_LIA,NotRefines,Theorem,unsat,theorem,theorem,unsat,unsat,0.006,0.005,0.014,0.004,cvc5+eprover+vampire+z3,order
ODRL854,Refinement,fof,QF_LIA,Refines,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.008,0.011,0.005,cvc5+eprover+vampire+z3,order
ODRL855,Refinement,fof,QF_LIA,NotRefines,Theorem,unsat,theorem,theorem,unsat,unsat,0.006,0.005,0.012,0.004,cvc5+eprover+vampire+z3,order
ODRL856,Completion,fof,QF_LIA,Compatible,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.004,0.011,0.005,cvc5+eprover+vampire+z3,order
ODRL857,Completion,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.006,0.005,0.015,0.007,cvc5+eprover+vampire+z3,order
ODRL858,Completion,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.004,0.012,0.005,cvc5+eprover+vampire+z3,order
ODRL859,Composition,fof,QF_LIA,Compatible,Theorem,unsat,theorem,theorem,unsat,unsat,0.007,0.004,0.011,0.005,cvc5+eprover+vampire+z3,order
ODRL860,Composition,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.005,0.016,0.004,cvc5+eprover+vampire+z3,order
ODRL861,Composition,fof,QF_LIA,Unknown,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.006,0.011,0.004,cvc5+eprover+vampire+z3,order
ODRL862,Composition,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.005,0.011,0.004,cvc5+eprover+vampire+z3,order
ODRL863,Capstone,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.006,0.005,0.011,0.004,cvc5+eprover+vampire+z3,order
ODRL864,Capstone,fof,QF_LIA,Unknown,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.006,0.012,0.004,cvc5+eprover+vampire+z3,order
ODRL865,Realizability,fof,QF_LIA,Unrealizable,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.004,0.011,0.004,cvc5+eprover+vampire+z3,order
ODRL866,Realizability,fof,QF_LIA,Realizable,Theorem,sat,theorem,theorem,sat,sat,0.004,0.004,0.017,0.004,cvc5+eprover+vampire+z3,order
ODRL867,Realizability,tff,QF_LIA,Unrealizable,Theorem,unsat,timeout,timeout,unsat,unsat,20.013,0.003,0.011,0.004,cvc5+z3,model
ODRL868,Realizability,tff,QF_LIA,Realizable,Theorem,sat,timeout,timeout,sat,sat,20.020,0.003,0.021,0.007,cvc5+z3,model
ODRL869,SortAblation,fof,QF_LIA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.007,0.006,0.019,0.007,cvc5+eprover+vampire+z3,order
ODRL870,SortAblation,fof,QF_LIA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.006,0.006,0.017,0.007,cvc5+eprover+vampire+z3,order
ODRL871,Periodic,tff,QF_LIA,Conflict,Theorem,unsat,timeout,timeout,unsat,unsat,20.017,0.003,0.018,0.007,cvc5+z3,model
